AxX,AxY,AxZ,GxX,GxY,GxZ,source_file,label,origine
-0.41724,-0.122488,0.926712,0.07,-2.31,-1.47,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.410408,-0.142496,0.925736,-0.63,-1.12,-1.12,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.417728,-0.147376,0.917928,0.21,-0.77,-0.07,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.410896,-0.13908,0.936472,-0.98,-1.33,0.63,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.404552,-0.135664,0.916952,1.75,0.98,1.61,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.411872,-0.123464,0.901336,5.32,3.29,2.59,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.41968,-0.10248,0.891576,2.73,2.73,3.15,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.42212,-0.080032,0.875472,1.96,2.52,2.8,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.423096,-0.06588,0.867176,1.54,0.98,1.54,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.42944,-0.062952,0.869128,3.5,-0.98,0.0,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.433344,-0.057096,0.870592,3.57,-1.68,-1.4,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.441152,-0.066856,0.87108,2.52,-3.71,-3.43,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.443592,-0.06344,0.884256,2.8,-7.07,-5.32,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.445056,-0.06588,0.894016,1.75,-9.31,-7.56,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.443592,-0.105896,0.898408,-0.49,-11.9,-8.96,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.41724,-0.135176,0.94184,-17.92,-14.0,-8.89,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.399184,-0.1586,0.965264,-0.84,-11.97,-7.91,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.388936,-0.154696,0.974536,-1.61,-9.1,-6.23,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.381128,-0.170312,0.95404,0.77,-4.06,-4.48,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.381616,-0.1586,0.955992,1.89,-1.96,-2.38,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.384056,-0.12444,0.965264,1.05,-1.89,-1.75,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.392352,-0.122488,0.937448,-1.33,-0.91,-1.54,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.394304,-0.1342,0.937448,-0.98,-1.4,-1.05,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.396744,-0.14396,0.94184,0.35,-1.89,-0.28,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.399184,-0.150792,0.940864,1.96,-2.24,0.77,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.411384,-0.12688,0.938912,1.96,-3.57,2.17,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.420168,-0.093696,0.9394,0.84,-5.53,1.89,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.420656,-0.099064,0.931104,-0.84,-5.74,0.28,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.419192,-0.123952,0.927688,3.57,-5.81,-0.56,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.407968,-0.128344,0.95648,4.41,-6.51,-0.14,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.410408,-0.115656,0.973072,0.7,-6.86,0.63,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.409432,-0.115168,0.980392,0.7,-6.16,0.56,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.401624,-0.110776,0.994544,0.63,-4.9,0.07,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.402112,-0.11468,0.999424,0.77,-2.45,-0.77,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.405528,-0.119072,1.004304,1.05,-0.77,-0.77,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.398696,-0.11712,0.995032,-0.56,1.26,-0.84,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.393816,-0.12444,0.974536,-2.24,3.29,-1.4,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.397232,-0.128344,0.974048,-3.5,3.15,-1.89,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.391864,-0.135176,0.96868,-3.71,3.71,-2.03,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.386496,-0.150304,0.94916,-2.94,5.39,-1.89,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.39284,-0.174216,0.935496,-2.1,6.02,-0.56,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.404064,-0.167872,0.929152,-0.42,5.81,0.98,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.402112,-0.143472,0.925248,-0.77,3.78,1.89,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.404552,-0.131272,0.921832,-1.96,2.45,1.89,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.411872,-0.135664,0.906704,-1.33,3.36,1.54,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.403576,-0.150304,0.894992,-1.4,3.71,1.33,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.411872,-0.157136,0.894016,1.26,3.01,2.38,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.413336,-0.13908,0.9028,1.54,1.4,3.36,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.41724,-0.123464,0.899384,0.07,-0.07,3.78,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.417728,-0.118584,0.9028,2.1,0.21,3.57,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.422608,-0.099064,0.928176,1.12,-1.26,3.36,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.414312,-0.097112,0.915976,0.91,-0.28,2.45,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.41724,-0.101504,0.915976,0.77,-0.21,1.82,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.415776,-0.106872,0.906216,-0.63,1.12,1.68,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.417728,-0.115168,0.882304,-2.66,2.03,1.75,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.431392,-0.116144,0.866688,17.57,0.35,1.96,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
-0.427,-0.105408,0.873032,2.73,-1.75,1.61,Expelliarmus_001_20260717_125857_459000,Expelliarmus,xiao
