AxX,AxY,AxZ,GxX,GxY,GxZ,source_file,label,origine
-0.642208,-0.038064,0.80276,2.03,-4.34,-2.1,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.64172,-0.046848,0.811056,0.91,-3.57,0.0,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.630496,-0.02196,0.838384,2.66,-4.06,1.61,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.604632,0.018544,0.870104,1.89,-1.05,1.68,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.603656,0.020496,0.866688,1.47,4.34,0.98,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.6222,0.018056,0.822768,5.32,5.39,0.42,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.635864,-0.006344,0.793976,5.6,6.44,0.56,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.654896,-0.00488,0.743712,0.77,4.06,1.75,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.648552,0.013176,0.734928,-2.59,0.77,1.96,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.64904,0.00244,0.753472,-2.94,-2.31,1.89,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.652456,-0.002928,0.787632,2.94,-3.64,2.24,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.647088,0.013176,0.80276,4.55,-4.41,2.38,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.644648,0.036112,0.815936,0.42,-4.27,1.68,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.64172,0.037088,0.821304,-4.41,-0.91,0.84,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.630984,0.019032,0.840336,-5.67,0.56,0.35,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.630496,-0.003904,0.85644,-7.21,3.43,0.42,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.638792,-0.008296,0.830576,-3.57,7.77,0.77,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.628544,0.035624,0.808128,5.39,6.16,-0.07,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.625128,0.035136,0.79788,10.71,6.79,-1.68,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.651968,0.022936,0.747616,7.91,4.55,-2.1,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.647576,0.038552,0.730048,7.91,1.33,-2.31,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.655384,0.04148,0.71004,-0.42,1.05,-2.59,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.654896,0.028304,0.706136,0.07,-2.17,-3.08,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.659288,-0.001952,0.732976,5.04,-7.7,-2.87,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.664168,-0.010248,0.75396,6.23,-11.41,-2.03,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.64904,0.023912,0.798856,7.91,-13.65,-1.82,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.644648,0.02928,0.837896,1.89,-10.43,-2.59,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.64904,0.011712,0.837408,-1.26,-6.16,-2.87,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.656848,0.000488,0.84912,-1.05,-5.18,-2.52,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.649528,0.008296,0.854,0.49,-2.73,-2.38,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.64904,-0.00488,0.84424,5.6,-0.63,-2.38,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.661728,-0.01952,0.791536,4.69,0.84,-0.91,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.662216,-0.010248,0.764208,2.52,-1.26,0.49,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.649528,0.004392,0.779336,-0.84,-3.43,0.77,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.630008,0.016592,0.806664,-2.31,-3.64,0.21,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.640256,0.0,0.801784,1.4,-3.29,-0.21,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.64416,-0.015128,0.791536,4.76,-4.13,0.49,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.636352,-0.001464,0.787632,4.97,-3.71,1.54,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.629032,0.02684,0.776408,1.68,-3.92,1.26,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.630008,0.038064,0.781288,-0.35,-4.76,0.07,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.619272,0.057096,0.812032,5.95,-6.65,-1.68,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.61244,0.05368,0.831064,5.46,-3.43,-3.85,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
-0.641232,0.046848,0.779336,1.96,-2.52,-4.62,Aldehorsa_001_20260727_141326_234930,Aldehorsa,xiao
